NOM_FORET,burned_buffer_m2,burned_core_m2,date,month,year
Monts Kouffe,137.2116156,123.0414994,11/1/00,11,2000
Monts Kouffe,425.1287368,746.7222081,12/1/00,12,2000
Monts Kouffe,79.29693759,55.88999554,1/1/01,1,2001
Monts Kouffe,3.236440266,0,2/1/01,2,2001
Monts Kouffe,0,0,3/1/01,3,2001
Monts Kouffe,0,0,4/1/01,4,2001
Monts Kouffe,0,0,5/1/01,5,2001
Monts Kouffe,0,0,6/1/01,6,2001
Monts Kouffe,0,0,7/1/01,7,2001
Monts Kouffe,0,0,8/1/01,8,2001
Monts Kouffe,0,0,9/1/01,9,2001
Monts Kouffe,0,0,10/1/01,10,2001
Monts Kouffe,48.58144529,15.3602435,11/1/01,11,2001
Monts Kouffe,417.7651869,626.1280672,12/1/01,12,2001
Monts Kouffe,95.25583851,80.28106455,1/1/02,1,2002
Monts Kouffe,10.67968304,1.244803438,2/1/02,2,2002
Monts Kouffe,0,0,3/1/02,3,2002
Monts Kouffe,0,0,4/1/02,4,2002
Monts Kouffe,0,0,5/1/02,5,2002
Monts Kouffe,0,0,6/1/02,6,2002
Monts Kouffe,0,0,7/1/02,7,2002
Monts Kouffe,0,0,8/1/02,8,2002
Monts Kouffe,0,0,9/1/02,9,2002
Monts Kouffe,0,0,10/1/02,10,2002
Monts Kouffe,8.242031637,7.335024173,11/1/02,11,2002
Monts Kouffe,673.5078608,923.1098644,12/1/02,12,2002
Monts Kouffe,59.18156065,90.46618232,1/1/03,1,2003
Monts Kouffe,0.497913063,0.746877906,2/1/03,2,2003
Monts Kouffe,0,0,3/1/03,3,2003
Monts Kouffe,0,0,4/1/03,4,2003
Monts Kouffe,0,0,5/1/03,5,2003
Monts Kouffe,0,0,6/1/03,6,2003
Monts Kouffe,0,0,7/1/03,7,2003
Monts Kouffe,0,0,8/1/03,8,2003
Monts Kouffe,0,0,9/1/03,9,2003
Monts Kouffe,0,0,10/1/03,10,2003
Monts Kouffe,0,0,11/1/03,11,2003
Monts Kouffe,494.5670671,321.2124907,12/1/03,12,2003
Monts Kouffe,88.9964057,413.1434339,1/1/04,1,2004
Monts Kouffe,18.58965559,23.40205359,2/1/04,2,2004
Monts Kouffe,0.248955,0,3/1/04,3,2004
Monts Kouffe,0,0,4/1/04,4,2004
Monts Kouffe,0,0,5/1/04,5,2004
Monts Kouffe,0,0,6/1/04,6,2004
Monts Kouffe,0,0,7/1/04,7,2004
Monts Kouffe,0,0,8/1/04,8,2004
Monts Kouffe,0,0,9/1/04,9,2004
Monts Kouffe,0,0,10/1/04,10,2004
Monts Kouffe,42.75587098,2.738515219,11/1/04,11,2004
Monts Kouffe,306.1874661,429.1635855,12/1/04,12,2004
Monts Kouffe,563.0675074,855.8434316,1/1/05,1,2005
Monts Kouffe,25.52061809,3.848592672,2/1/05,2,2005
Monts Kouffe,0,0,3/1/05,3,2005
Monts Kouffe,0,0,4/1/05,4,2005
Monts Kouffe,0,0,5/1/05,5,2005
Monts Kouffe,0,0,6/1/05,6,2005
Monts Kouffe,0,0,7/1/05,7,2005
Monts Kouffe,0,0,8/1/05,8,2005
Monts Kouffe,0,0,9/1/05,9,2005
Monts Kouffe,0,0,10/1/05,10,2005
Monts Kouffe,39.81466082,9.064998154,11/1/05,11,2005
Monts Kouffe,584.1863708,519.9699932,12/1/05,12,2005
Monts Kouffe,38.42258332,283.4996461,1/1/06,1,2006
Monts Kouffe,0.248960828,62.98668014,2/1/06,2,2006
Monts Kouffe,0,5.477110688,3/1/06,3,2006
Monts Kouffe,3.975466971,0,4/1/06,4,2006
Monts Kouffe,0,0,5/1/06,5,2006
Monts Kouffe,0,0,6/1/06,6,2006
Monts Kouffe,0,0,7/1/06,7,2006
Monts Kouffe,0,0,8/1/06,8,2006
Monts Kouffe,0,0,9/1/06,9,2006
Monts Kouffe,0,0,10/1/06,10,2006
Monts Kouffe,12.34542982,11.88655233,11/1/06,11,2006
Monts Kouffe,597.3441849,1045.43658,12/1/06,12,2006
Monts Kouffe,47.25837325,158.0351587,1/1/07,1,2007
Monts Kouffe,26.49605572,35.71518937,2/1/07,2,2007
Monts Kouffe,13.66821477,5.726032672,3/1/07,3,2007
Monts Kouffe,0,0,4/1/07,4,2007
Monts Kouffe,0,0,5/1/07,5,2007
Monts Kouffe,0,0,6/1/07,6,2007
Monts Kouffe,0,0,7/1/07,7,2007
Monts Kouffe,0,0,8/1/07,8,2007
Monts Kouffe,0,0,9/1/07,9,2007
Monts Kouffe,0,0,10/1/07,10,2007
Monts Kouffe,20.75269242,0.750787705,11/1/07,11,2007
Monts Kouffe,524.3760241,459.1327096,12/1/07,12,2007
Monts Kouffe,48.53744957,588.8205427,1/1/08,1,2008
Monts Kouffe,20.66337475,8.464630031,2/1/08,2,2008
Monts Kouffe,2.303084472,3.236452641,3/1/08,3,2008
Monts Kouffe,0,0,4/1/08,4,2008
Monts Kouffe,0,0,5/1/08,5,2008
Monts Kouffe,0,0,6/1/08,6,2008
Monts Kouffe,0,0,7/1/08,7,2008
Monts Kouffe,0,0,8/1/08,8,2008
Monts Kouffe,0,0,9/1/08,9,2008
Monts Kouffe,0,0,10/1/08,10,2008
Monts Kouffe,30.84288079,1.672419461,11/1/08,11,2008
Monts Kouffe,119.72433,62.15467349,12/1/08,12,2008
Monts Kouffe,106.7329923,588.5952444,1/1/09,1,2009
Monts Kouffe,0.746869609,26.63869608,2/1/09,2,2009
Monts Kouffe,0,0,3/1/09,3,2009
Monts Kouffe,0,0,4/1/09,4,2009
Monts Kouffe,0,0,5/1/09,5,2009
Monts Kouffe,0,0,6/1/09,6,2009
Monts Kouffe,0,0,7/1/09,7,2009
Monts Kouffe,0,0,8/1/09,8,2009
Monts Kouffe,0,0,9/1/09,9,2009
Monts Kouffe,1.88817897,1.090534872,10/1/09,10,2009
Monts Kouffe,107.1188231,114.4115821,11/1/09,11,2009
Monts Kouffe,331.7422517,772.2062715,12/1/09,12,2009
Monts Kouffe,25.10570647,16.18237591,1/1/10,1,2010
Monts Kouffe,9.709306,0,2/1/10,2,2010
Monts Kouffe,2.489545891,0,3/1/10,3,2010
Monts Kouffe,0,0,4/1/10,4,2010
Monts Kouffe,0,0,5/1/10,5,2010
Monts Kouffe,0,0,6/1/10,6,2010
Monts Kouffe,0,0,7/1/10,7,2010
Monts Kouffe,0,0,8/1/10,8,2010
Monts Kouffe,0,0,9/1/10,9,2010
Monts Kouffe,0,0,10/1/10,10,2010
Monts Kouffe,3.790082751,0.497921344,11/1/10,11,2010
Monts Kouffe,320.5026039,469.8794136,12/1/10,12,2010
Monts Kouffe,91.55367632,298.5758158,1/1/11,1,2011
Monts Kouffe,178.2388393,81.04161898,2/1/11,2,2011
Monts Kouffe,0,0,3/1/11,3,2011
Monts Kouffe,0,0,4/1/11,4,2011
Monts Kouffe,0,0,5/1/11,5,2011
Monts Kouffe,0,0,6/1/11,6,2011
Monts Kouffe,0,0,7/1/11,7,2011
Monts Kouffe,0,0,8/1/11,8,2011
Monts Kouffe,0,0,9/1/11,9,2011
Monts Kouffe,0,0,10/1/11,10,2011
Monts Kouffe,12.44123153,4.730191984,11/1/11,11,2011
Monts Kouffe,316.1476121,845.9687389,12/1/11,12,2011
Monts Kouffe,33.62770105,69.96832713,1/1/12,1,2012
Monts Kouffe,4.730241578,2.738533641,2/1/12,2,2012
Monts Kouffe,1.307253017,0,3/1/12,3,2012
Monts Kouffe,0,0,4/1/12,4,2012
Monts Kouffe,0,0,5/1/12,5,2012
Monts Kouffe,0,0,6/1/12,6,2012
Monts Kouffe,0,0,7/1/12,7,2012
Monts Kouffe,0,0,8/1/12,8,2012
Monts Kouffe,0,0,9/1/12,9,2012
Monts Kouffe,0,0,10/1/12,10,2012
Monts Kouffe,1.742720547,0.248958703,11/1/12,11,2012
Monts Kouffe,226.1744769,641.8351702,12/1/12,12,2012
Monts Kouffe,164.5840357,193.9527057,1/1/13,1,2013
Monts Kouffe,25.85915558,0,2/1/13,2,2013
Monts Kouffe,0,0,3/1/13,3,2013
Monts Kouffe,0,0,4/1/13,4,2013
Monts Kouffe,0,0,5/1/13,5,2013
Monts Kouffe,0,0,6/1/13,6,2013
Monts Kouffe,0,0,7/1/13,7,2013
Monts Kouffe,0,0,8/1/13,8,2013
Monts Kouffe,0,0,9/1/13,9,2013
Monts Kouffe,0,0,10/1/13,10,2013
Monts Kouffe,7.050000199,9.379356393,11/1/13,11,2013
Monts Kouffe,256.7354737,841.0358496,12/1/13,12,2013
Monts Kouffe,86.13879872,55.46914809,1/1/14,1,2014
Monts Kouffe,1.493735125,0,2/1/14,2,2014
Monts Kouffe,0.995824406,0,3/1/14,3,2014
Monts Kouffe,0,0,4/1/14,4,2014
Monts Kouffe,0,0,5/1/14,5,2014
Monts Kouffe,0,0,6/1/14,6,2014
Monts Kouffe,0,0,7/1/14,7,2014
Monts Kouffe,0,0,8/1/14,8,2014
Monts Kouffe,0,0,9/1/14,9,2014
Monts Kouffe,0,0,10/1/14,10,2014
Monts Kouffe,1.493774453,1.244791328,11/1/14,11,2014
Monts Kouffe,142.9654386,527.7346706,12/1/14,12,2014
Monts Kouffe,21.40933373,95.11960101,1/1/15,1,2015
Monts Kouffe,4.399202111,0.913826224,2/1/15,2,2015
Monts Kouffe,3.236429516,0,3/1/15,3,2015
Monts Kouffe,0,0,4/1/15,4,2015
Monts Kouffe,0,0,5/1/15,5,2015
Monts Kouffe,0,0,6/1/15,6,2015
Monts Kouffe,0,0,7/1/15,7,2015
Monts Kouffe,0,0,8/1/15,8,2015
Monts Kouffe,0,0,9/1/15,9,2015
Monts Kouffe,0,0,10/1/15,10,2015
Monts Kouffe,41.89775241,174.3537104,11/1/15,11,2015
Monts Kouffe,35.26296092,224.2089628,12/1/15,12,2015
Monts Kouffe,175.8785222,361.6569626,1/1/16,1,2016
Monts Kouffe,4.350383399,0,2/1/16,2,2016
Monts Kouffe,0,0,3/1/16,3,2016
Monts Kouffe,0,0,4/1/16,4,2016
Monts Kouffe,0,0,5/1/16,5,2016
Monts Kouffe,0,0,6/1/16,6,2016
Monts Kouffe,0,0,7/1/16,7,2016
Monts Kouffe,0,0,8/1/16,8,2016
Monts Kouffe,0,0,9/1/16,9,2016
Monts Kouffe,0,0,10/1/16,10,2016
Monts Kouffe,0,0,11/1/16,11,2016
Monts Kouffe,30.08542383,257.562405,12/1/16,12,2016
Monts Kouffe,52.00672092,165.1558845,1/1/17,1,2017
Monts Kouffe,145.4191556,166.8111919,2/1/17,2,2017
Monts Kouffe,0.248954531,0,3/1/17,3,2017
Monts Kouffe,0,0,4/1/17,4,2017
Monts Kouffe,0,0,5/1/17,5,2017
Monts Kouffe,0,0,6/1/17,6,2017
Monts Kouffe,0,0,7/1/17,7,2017
Monts Kouffe,0,0,8/1/17,8,2017
Monts Kouffe,0,0,9/1/17,9,2017
Monts Kouffe,0,0,10/1/17,10,2017
Monts Kouffe,0,0,11/1/17,11,2017
Monts Kouffe,10.98329232,0.248960672,12/1/17,12,2017
Monts Kouffe,140.9603454,223.3902591,1/1/18,1,2018
Monts Kouffe,9.211544344,32.61370344,2/1/18,2,2018
Monts Kouffe,0.497916625,0,3/1/18,3,2018
Monts Kouffe,0,0,4/1/18,4,2018
Monts Kouffe,0,0,5/1/18,5,2018
Monts Kouffe,0,0,6/1/18,6,2018
Monts Kouffe,0,0,7/1/18,7,2018
Monts Kouffe,0,0,8/1/18,8,2018
Monts Kouffe,0,0,9/1/18,9,2018
Monts Kouffe,0,0,10/1/18,10,2018
Monts Kouffe,0,0,11/1/18,11,2018
Monts Kouffe,0,0,12/1/18,12,2018
Monts Kouffe,25.90765336,22.40642556,1/1/19,1,2019
Monts Kouffe,160.3963797,555.2765124,2/1/19,2,2019
Monts Kouffe,0.497912844,0,3/1/19,3,2019
Monts Kouffe,0,0,4/1/19,4,2019
Monts Kouffe,0,0,5/1/19,5,2019
Monts Kouffe,0,0,6/1/19,6,2019
Monts Kouffe,0,0,7/1/19,7,2019
Monts Kouffe,0,0,8/1/19,8,2019
Monts Kouffe,0,0,9/1/19,9,2019
Monts Kouffe,0,0,10/1/19,10,2019
Monts Kouffe,0,0,11/1/19,11,2019
Monts Kouffe,0,0,12/1/19,12,2019
Monts Kouffe,11.93648772,0.497916516,1/1/20,1,2020
Monts Kouffe,253.2661391,113.983,2/1/20,2,2020
Monts Kouffe,0,0,3/1/20,3,2020
Monts Kouffe,0,0,4/1/20,4,2020
Monts Kouffe,0,0,5/1/20,5,2020
Monts Kouffe,0,0,6/1/20,6,2020
Monts Kouffe,0,0,7/1/20,7,2020
Monts Kouffe,0,0,8/1/20,8,2020
Monts Kouffe,0,0,9/1/20,9,2020
Monts Kouffe,0,0,10/1/20,10,2020
Monts Kouffe,1.783684141,0,11/1/20,11,2020
Monts Kouffe,8.837555986,0,12/1/20,12,2020
Monts Kouffe,129.5780583,117.8661622,1/1/21,1,2021
Monts Kouffe,25.66239875,183.4982311,2/1/21,2,2021
Monts Kouffe,0,0,3/1/21,3,2021
Monts Kouffe,0,0,4/1/21,4,2021
Monts Kouffe,0,0,5/1/21,5,2021
Monts Kouffe,0,0,6/1/21,6,2021
Monts Kouffe,0,0,7/1/21,7,2021
Monts Kouffe,0,0,8/1/21,8,2021
Monts Kouffe,0,0,9/1/21,9,2021
Monts Kouffe,0,0,10/1/21,10,2021
Monts Kouffe,0,0,11/1/21,11,2021
Monts Kouffe,0,0,12/1/21,12,2021
Monts Kouffe,52.6958547,38.1394965,1/1/22,1,2022
Monts Kouffe,25.56386323,62.98645492,2/1/22,2,2022
Monts Kouffe,0,0,3/1/22,3,2022
Monts Kouffe,0,0,4/1/22,4,2022
Monts Kouffe,0,0,5/1/22,5,2022
Monts Kouffe,0,0,6/1/22,6,2022
Monts Kouffe,0,0,7/1/22,7,2022
Monts Kouffe,0,0,8/1/22,8,2022
Monts Kouffe,0,0,9/1/22,9,2022
Monts Kouffe,0,0,10/1/22,10,2022
Monts Kouffe,0,0,11/1/22,11,2022
Monts Kouffe,0.232358496,0.263599974,12/1/22,12,2022
Monts Kouffe,4.316314535,8.962504094,1/1/23,1,2023
Monts Kouffe,149.9173412,967.2678238,2/1/23,2,2023
Monts Kouffe,0,0,3/1/23,3,2023
Monts Kouffe,0,0,4/1/23,4,2023
Monts Kouffe,0,0,5/1/23,5,2023
Monts Kouffe,0,0,6/1/23,6,2023
Monts Kouffe,0,0,7/1/23,7,2023
Monts Kouffe,0,0,8/1/23,8,2023
Monts Kouffe,0,0,9/1/23,9,2023
Monts Kouffe,0,0,10/1/23,10,2023
Monts Kouffe,0,0,11/1/23,11,2023
Monts Kouffe,0.229432314,0.018549847,12/1/23,12,2023
Monts Kouffe,5.690906088,56.04951767,1/1/24,1,2024
Monts Kouffe,21.60603549,142.2141102,2/1/24,2,2024
Monts Kouffe,0,0,3/1/24,3,2024
Monts Kouffe,0,0,4/1/24,4,2024
Monts Kouffe,0,0,5/1/24,5,2024
Monts Kouffe,0,0,6/1/24,6,2024
Monts Kouffe,0,0,7/1/24,7,2024
Monts Kouffe,0,0,8/1/24,8,2024
Monts Kouffe,0,0,9/1/24,9,2024
Monts Kouffe,0,0,10/1/24,10,2024
Monts Kouffe,0,0,11/1/24,11,2024
Monts Kouffe,5.726082297,5.726023484,12/1/24,12,2024
Monts Kouffe,63.59064067,815.6565947,1/1/25,1,2025
Monts Kouffe,16.70096591,20.25841681,2/1/25,2,2025
Monts Kouffe,0,0,3/1/25,3,2025
Wari-Maro,150.6096255,62.42037586,11/1/00,11,2000
Wari-Maro,393.4779137,339.7611858,12/1/00,12,2000
Wari-Maro,13.69097847,36.87488064,1/1/01,1,2001
Wari-Maro,1.458635059,2.084462882,2/1/01,2,2001
Wari-Maro,0,0,3/1/01,3,2001
Wari-Maro,0,0,4/1/01,4,2001
Wari-Maro,0,0,5/1/01,5,2001
Wari-Maro,0,0,6/1/01,6,2001
Wari-Maro,0,0,7/1/01,7,2001
Wari-Maro,0,0,8/1/01,8,2001
Wari-Maro,0,0,9/1/01,9,2001
Wari-Maro,0,0,10/1/01,10,2001
Wari-Maro,41.49090657,52.86042282,11/1/01,11,2001
Wari-Maro,492.2850248,601.4559863,12/1/01,12,2001
Wari-Maro,28.14248891,11.70128439,1/1/02,1,2002
Wari-Maro,1.244803438,0,2/1/02,2,2002
Wari-Maro,0,0,3/1/02,3,2002
Wari-Maro,0,0,4/1/02,4,2002
Wari-Maro,0,0,5/1/02,5,2002
Wari-Maro,0,0,6/1/02,6,2002
Wari-Maro,0,0,7/1/02,7,2002
Wari-Maro,0,0,8/1/02,8,2002
Wari-Maro,0,0,9/1/02,9,2002
Wari-Maro,0.248966313,0,10/1/02,10,2002
Wari-Maro,23.77948414,13.06623338,11/1/02,11,2002
Wari-Maro,798.1988256,768.7195541,12/1/02,12,2002
Wari-Maro,49.4212124,8.068393129,1/1/03,1,2003
Wari-Maro,0,0,2/1/03,2,2003
Wari-Maro,0,0,3/1/03,3,2003
Wari-Maro,0,0,4/1/03,4,2003
Wari-Maro,0,0,5/1/03,5,2003
Wari-Maro,0,0,6/1/03,6,2003
Wari-Maro,0,0,7/1/03,7,2003
Wari-Maro,0,0,8/1/03,8,2003
Wari-Maro,0,0,9/1/03,9,2003
Wari-Maro,0,0,10/1/03,10,2003
Wari-Maro,0,0,11/1/03,11,2003
Wari-Maro,602.5554229,602.679299,12/1/03,12,2003
Wari-Maro,88.16041498,52.53112159,1/1/04,1,2004
Wari-Maro,0,0.248963063,2/1/04,2,2004
Wari-Maro,0,0.746888953,3/1/04,3,2004
Wari-Maro,0,0,4/1/04,4,2004
Wari-Maro,0,0,5/1/04,5,2004
Wari-Maro,0,0,6/1/04,6,2004
Wari-Maro,0,0,7/1/04,7,2004
Wari-Maro,0,0,8/1/04,8,2004
Wari-Maro,0,0,9/1/04,9,2004
Wari-Maro,0,0,10/1/04,10,2004
Wari-Maro,56.43942898,38.04264829,11/1/04,11,2004
Wari-Maro,223.5825016,364.9991205,12/1/04,12,2004
Wari-Maro,284.6100465,160.5761339,1/1/05,1,2005
Wari-Maro,13.19882347,0.741032948,2/1/05,2,2005
Wari-Maro,0,0,3/1/05,3,2005
Wari-Maro,0,0,4/1/05,4,2005
Wari-Maro,0,0,5/1/05,5,2005
Wari-Maro,0,0,6/1/05,6,2005
Wari-Maro,0,0,7/1/05,7,2005
Wari-Maro,0,0,8/1/05,8,2005
Wari-Maro,0,0,9/1/05,9,2005
Wari-Maro,0,0,10/1/05,10,2005
Wari-Maro,20.37671569,23.93567847,11/1/05,11,2005
Wari-Maro,435.8850292,649.1545747,12/1/05,12,2005
Wari-Maro,42.31660212,28.39176967,1/1/06,1,2006
Wari-Maro,1.520124686,0,2/1/06,2,2006
Wari-Maro,0,0,3/1/06,3,2006
Wari-Maro,2.478900691,0.009763292,4/1/06,4,2006
Wari-Maro,0,0,5/1/06,5,2006
Wari-Maro,0,0,6/1/06,6,2006
Wari-Maro,0,0,7/1/06,7,2006
Wari-Maro,0,0,8/1/06,8,2006
Wari-Maro,0,0,9/1/06,9,2006
Wari-Maro,0,0,10/1/06,10,2006
Wari-Maro,4.979250047,2.489629453,11/1/06,11,2006
Wari-Maro,377.3407256,531.8946157,12/1/06,12,2006
Wari-Maro,57.11853593,61.05584995,1/1/07,1,2007
Wari-Maro,5.257473296,18.14399612,2/1/07,2,2007
Wari-Maro,4.916722441,0.248965406,3/1/07,3,2007
Wari-Maro,0,0,4/1/07,4,2007
Wari-Maro,0,0,5/1/07,5,2007
Wari-Maro,0,0,6/1/07,6,2007
Wari-Maro,0,0,7/1/07,7,2007
Wari-Maro,0,0,8/1/07,8,2007
Wari-Maro,0,0,9/1/07,9,2007
Wari-Maro,0,0,10/1/07,10,2007
Wari-Maro,21.26726412,20.80658966,11/1/07,11,2007
Wari-Maro,330.985277,545.8648353,12/1/07,12,2007
Wari-Maro,73.38698621,57.97051528,1/1/08,1,2008
Wari-Maro,0.689284842,6.77764996,2/1/08,2,2008
Wari-Maro,0,0,3/1/08,3,2008
Wari-Maro,0,1.493789219,4/1/08,4,2008
Wari-Maro,0,0,5/1/08,5,2008
Wari-Maro,0,0,6/1/08,6,2008
Wari-Maro,0,0,7/1/08,7,2008
Wari-Maro,0,0,8/1/08,8,2008
Wari-Maro,0,0,9/1/08,9,2008
Wari-Maro,0,0,10/1/08,10,2008
Wari-Maro,15.84563864,12.28604617,11/1/08,11,2008
Wari-Maro,52.47335434,102.7018471,12/1/08,12,2008
Wari-Maro,197.4554635,105.7665383,1/1/09,1,2009
Wari-Maro,0.248960984,4.232395188,2/1/09,2,2009
Wari-Maro,0,0,3/1/09,3,2009
Wari-Maro,0,0,4/1/09,4,2009
Wari-Maro,0,0,5/1/09,5,2009
Wari-Maro,0,0,6/1/09,6,2009
Wari-Maro,0,0,7/1/09,7,2009
Wari-Maro,0,0,8/1/09,8,2009
Wari-Maro,0,0,9/1/09,9,2009
Wari-Maro,0.497920953,0.248963219,10/1/09,10,2009
Wari-Maro,84.4887903,42.28564183,11/1/09,11,2009
Wari-Maro,261.3348533,371.7585362,12/1/09,12,2009
Wari-Maro,30.62429604,14.41848875,1/1/10,1,2010
Wari-Maro,5.726114281,1.493786047,2/1/10,2,2010
Wari-Maro,0,0,3/1/10,3,2010
Wari-Maro,0,0,4/1/10,4,2010
Wari-Maro,0,0,5/1/10,5,2010
Wari-Maro,0,0,6/1/10,6,2010
Wari-Maro,0,0,7/1/10,7,2010
Wari-Maro,0,0,8/1/10,8,2010
Wari-Maro,0,0,9/1/10,9,2010
Wari-Maro,0,0,10/1/10,10,2010
Wari-Maro,2.738576313,5.726164547,11/1/10,11,2010
Wari-Maro,256.0402326,327.896674,12/1/10,12,2010
Wari-Maro,49.44474117,26.43209716,1/1/11,1,2011
Wari-Maro,30.57767707,9.374721081,2/1/11,2,2011
Wari-Maro,0,0,3/1/11,3,2011
Wari-Maro,0,0,4/1/11,4,2011
Wari-Maro,0,0,5/1/11,5,2011
Wari-Maro,0,0,6/1/11,6,2011
Wari-Maro,0,0,7/1/11,7,2011
Wari-Maro,0,0,8/1/11,8,2011
Wari-Maro,0,0,9/1/11,9,2011
Wari-Maro,0,0,10/1/11,10,2011
Wari-Maro,7.219862641,4.979255109,11/1/11,11,2011
Wari-Maro,264.6201265,208.7507319,12/1/11,12,2011
Wari-Maro,15.49030561,13.89804276,1/1/12,1,2012
Wari-Maro,46.32973019,34.73997066,2/1/12,2,2012
Wari-Maro,0,0,3/1/12,3,2012
Wari-Maro,0,0,4/1/12,4,2012
Wari-Maro,0,0,5/1/12,5,2012
Wari-Maro,0,0,6/1/12,6,2012
Wari-Maro,0,0,7/1/12,7,2012
Wari-Maro,0,0,8/1/12,8,2012
Wari-Maro,0,0,9/1/12,9,2012
Wari-Maro,0,0,10/1/12,10,2012
Wari-Maro,0.746882094,0.746889344,11/1/12,11,2012
Wari-Maro,214.3201256,216.1285935,12/1/12,12,2012
Wari-Maro,149.7210468,89.38133285,1/1/13,1,2013
